date,hpi_index,mort_rate_1y,mort_rate_float,ocr,dwellings_consent_count,net_migration_nz,filled_jobs_nz,new_listings_akl,total_stock_akl,sales_count_akl,days_to_sell_akl,median_price_akl,y_log,y_diff,sales_count_akl_lag1,sales_count_akl_lag2,sales_count_akl_lag3,days_to_sell_akl_lag1,days_to_sell_akl_lag2,days_to_sell_akl_lag3,hpi_index_imp,y_log_imp,y_diff_imp,mort_rate_1y_miss,mort_rate_1y_imp,mort_rate_float_miss,mort_rate_float_imp,ocr_miss,ocr_imp,dwellings_consent_count_miss,dwellings_consent_count_imp,new_listings_akl_miss,new_listings_akl_imp,total_stock_akl_miss,total_stock_akl_imp,sales_count_akl_miss,sales_count_akl_imp,days_to_sell_akl_miss,days_to_sell_akl_imp,median_price_akl_miss,median_price_akl_imp,filled_jobs_nz_miss,filled_jobs_nz_imp,net_migration_nz_miss,net_migration_nz_imp
2024-10-31,3364.0,6.53,8.11,4.75,1221.0,490.0,801528.0,4103.0,11916.0,2113.0,41.0,1000500.0,8.120886021092838,0.0014874314805446,1881.0,1801.0,1805.0,48.0,51.0,48.0,3364.0,8.120886021092838,0.0014874314805446431,0,6.53,0,8.11,0,4.75,0,1221.0,0,4103.0,0,11916.0,0,2113.0,0,41.0,0,1000500.0,0,801528.0,0,490.0
2024-11-30,3402.0,6.47,7.96,4.25,1206.0,800.0,809629.0,3692.0,12314.0,2239.0,40.0,1038000.0,8.132118772955806,0.011232751862968,2113.0,1881.0,1801.0,41.0,48.0,51.0,3402.0,8.132118772955806,0.011232751862968016,0,6.47,0,7.96,0,4.25,0,1206.0,0,3692.0,0,12314.0,0,2239.0,0,40.0,0,1038000.0,0,809629.0,0,800.0
2024-12-31,3359.0,6.3,7.66,4.25,952.0,1670.0,807682.0,1373.0,10560.0,1534.0,40.0,1000000.0,8.119398589612294,-0.0127201833435126,2239.0,2113.0,1881.0,40.0,41.0,48.0,3359.0,8.119398589612294,-0.012720183343512659,0,6.3,0,7.66,0,4.25,0,952.0,0,1373.0,0,10560.0,0,1534.0,0,40.0,0,1000000.0,0,807682.0,0,1670.0
2025-01-31,3355.0,6.15,7.63,4.25,867.0,-150.0,791099.0,2948.0,11465.0,906.0,56.0,949000.0,8.118207049405783,-0.001191540206511,1534.0,2239.0,2113.0,40.0,40.0,41.0,3355.0,8.118207049405783,-0.0011915402065110214,0,6.15,0,7.63,0,4.25,0,867.0,0,2948.0,0,11465.0,0,906.0,0,56.0,0,949000.0,0,791099.0,0,-150.0
2025-02-28,3398.0,5.87,7.33,3.75,1086.0,2490.0,796574.0,4114.0,12918.0,1796.0,55.0,1010000.0,8.130942302231878,0.0127352528260953,906.0,1534.0,2239.0,56.0,40.0,40.0,3398.0,8.130942302231878,0.012735252826095333,0,5.87,0,7.33,0,3.75,0,1086.0,0,4114.0,0,12918.0,0,1796.0,0,55.0,0,1010000.0,0,796574.0,0,2490.0
2025-03-31,3378.0,5.88,7.24,3.75,1535.0,990.0,799989.0,4516.0,13693.0,2362.0,41.0,1040000.0,8.125039097367745,-0.0059032048641327,1796.0,906.0,1534.0,55.0,56.0,40.0,3378.0,8.125039097367745,-0.005903204864132761,0,5.88,0,7.24,0,3.75,0,1535.0,0,4516.0,0,13693.0,0,2362.0,0,41.0,0,1040000.0,0,799989.0,0,990.0
2025-04-30,3349.0,5.68,7.0,3.5,981.0,1040.0,797971.0,2779.0,13218.0,1957.0,40.0,1000000.0,8.116417072794205,-0.0086220245735404,2362.0,1796.0,906.0,41.0,55.0,56.0,3349.0,8.116417072794205,-0.008622024573540443,0,5.68,0,7.0,0,3.5,0,981.0,0,2779.0,0,13218.0,0,1957.0,0,40.0,0,1000000.0,0,797971.0,0,1040.0
2025-05-31,3319.0,5.64,6.92,3.25,1392.0,1370.0,794507.0,3654.0,13148.0,2052.0,46.0,975000.0,8.107418811719974,-0.0089982610742307,1957.0,2362.0,1796.0,40.0,41.0,55.0,3319.0,8.107418811719974,-0.00899826107423074,0,5.64,0,6.92,0,3.25,0,1392.0,0,3654.0,0,13148.0,0,2052.0,0,46.0,0,975000.0,0,794507.0,0,1370.0
2025-06-30,3318.0,5.56,6.79,3.25,,1670.0,791453.0,2912.0,12670.0,1774.0,49.0,990000.0,8.10711747075039,-0.0003013409695835,2052.0,1957.0,2362.0,46.0,40.0,41.0,3318.0,8.10711747075039,-0.0003013409695835634,0,5.56,0,6.79,0,3.25,1,744.0,0,2912.0,0,12670.0,0,1774.0,0,49.0,0,990000.0,0,791453.0,0,1670.0
2025-07-31,3263.0,5.53,6.79,3.25,,,,2812.0,12094.0,1898.0,48.0,975000.0,8.09040229659332,-0.0167151741570705,1774.0,2052.0,1957.0,49.0,46.0,40.0,3263.0,8.09040229659332,-0.016715174157070578,0,5.53,0,6.79,0,3.25,1,1290.0,0,2812.0,0,12094.0,0,1898.0,0,48.0,0,975000.0,1,791453.0,1,1670.0
2025-08-31,,,,3.0,,,,3288.0,12127.0,,,,,,1898.0,1774.0,2052.0,48.0,49.0,46.0,3263.0,8.09040229659332,0.0,1,5.53,1,6.79,0,3.0,1,1228.0,0,3288.0,0,12127.0,1,1801.0,1,51.0,1,960000.0,1,791453.0,1,1670.0
